"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Mar-2024","EQ","730.00","734.35","721.15","730.95","722.55","723.80","727.47","793.40","501.55","1,52,05,043","11,06,12,61,059.95","2,03,852"
"18-Mar-2024","EQ","727.10","737.90","722.10","731.90","732.45","730.95","729.81","793.40","501.55","1,81,45,126","13,24,25,20,782.95","2,66,091"
"15-Mar-2024","EQ","739.25","746.55","723.00","741.05","732.65","731.90","731.27","793.40","501.55","2,97,92,241","21,78,60,99,985.35","3,82,516"
"14-Mar-2024","EQ","749.90","750.80","734.05","747.25","741.00","741.05","743.03","793.40","501.55","1,97,30,882","14,66,06,90,669.70","3,04,735"
"13-Mar-2024","EQ","758.65","763.70","743.00","759.70","747.40","747.25","751.85","793.40","501.55","2,79,50,252","21,01,43,17,799.65","4,62,302"
"12-Mar-2024","EQ","770.00","777.75","757.35","773.70","759.00","759.70","764.67","793.40","501.55","2,15,29,705","16,46,30,45,923.05","3,90,497"
"11-Mar-2024","EQ","790.00","792.80","770.55","788.05","773.95","773.70","778.59","793.40","501.55","1,67,78,340","13,06,34,54,668.35","3,87,291"
"07-Mar-2024","EQ","790.00","793.40","783.00","783.90","786.00","788.05","788.54","793.40","501.55","1,54,97,868","12,22,07,05,592.60","2,19,629"
"06-Mar-2024","EQ","783.65","790.30","772.90","783.95","783.70","783.90","783.81","790.30","501.55","2,67,10,525","20,93,60,92,585.05","5,03,262"
"05-Mar-2024","EQ","769.50","786.95","769.10","772.05","784.60","783.95","782.20","786.95","501.55","1,80,88,847","14,14,91,13,322.65","4,04,509"
"04-Mar-2024","EQ","774.40","777.00","769.00","773.30","771.35","772.05","772.72","777.50","501.55","97,89,141","7,56,42,84,699.60","1,97,362"
"02-Mar-2024","EQ","771.95","777.00","768.90","769.15","773.70","773.30","774.03","777.50","501.55","11,58,960","89,70,65,444.75","27,382"
"01-Mar-2024","EQ","752.00","772.00","751.95","748.10","770.00","769.15","763.20","777.50","501.55","1,73,48,526","13,24,04,13,220.45","3,09,262"
"29-Feb-2024","EQ","743.90","753.90","737.15","742.50","753.00","748.10","745.74","777.50","501.55","1,92,17,113","14,33,08,98,842.35","3,89,495"
"28-Feb-2024","EQ","749.85","756.75","741.00","749.85","743.00","742.50","747.76","777.50","501.55","1,12,63,318","8,42,22,54,972.85","2,83,338"
"27-Feb-2024","EQ","758.90","762.35","742.20","758.90","749.50","749.85","751.69","777.50","501.55","1,39,69,393","10,50,06,29,239.15","3,15,352"
"26-Feb-2024","EQ","755.00","766.35","752.70","759.05","758.40","758.90","759.32","777.50","501.55","1,13,55,186","8,62,22,14,664.70","2,80,156"
"23-Feb-2024","EQ","765.90","770.50","755.00","765.90","760.35","759.05","761.81","777.50","501.55","1,41,43,636","10,77,48,10,691.75","4,79,997"
"22-Feb-2024","EQ","773.00","773.00","757.00","771.50","766.95","765.90","764.01","777.50","501.55","1,87,99,244","14,36,28,48,260.80","3,72,278"
"21-Feb-2024","EQ","760.65","777.50","759.60","760.10","772.05","771.50","770.65","777.50","501.55","2,14,65,311","16,54,22,28,829.40","4,41,746"
"20-Feb-2024","EQ","759.05","763.50","754.00","759.25","760.65","760.10","759.33","774.60","501.55","1,25,28,399","9,51,31,87,763.75","2,60,985"
"19-Feb-2024","EQ","758.70","765.00","750.00","754.70","759.65","759.25","758.61","774.60","501.55","1,39,79,584","10,60,50,31,489.65","2,53,774"
"16-Feb-2024","EQ","763.45","774.60","753.35","761.70","757.35","754.70","763.14","774.60","501.55","2,73,65,121","20,88,33,78,535.90","5,19,358"
"15-Feb-2024","EQ","747.70","764.00","741.65","743.40","760.40","761.70","754.14","764.00","501.55","3,39,41,282","25,59,65,07,159.35","8,63,114"
"14-Feb-2024","EQ","705.55","748.50","705.55","713.45","743.00","743.40","730.54","748.50","501.55","3,67,82,182","26,87,09,28,805.05","4,93,455"
"13-Feb-2024","EQ","708.55","718.00","702.15","707.90","711.35","713.45","711.68","728.35","501.55","2,33,51,472","16,61,86,87,259.40","3,64,739"
"12-Feb-2024","EQ","726.00","726.00","704.50","725.25","707.00","707.90","713.27","728.35","501.55","2,28,73,137","16,31,48,27,822.60","5,73,623"
"09-Feb-2024","EQ","703.65","728.35","694.20","699.55","725.45","725.25","711.47","728.35","501.55","4,32,35,061","30,76,02,44,551.05","7,57,763"
"08-Feb-2024","EQ","680.40","718.90","678.50","675.25","699.80","699.55","700.87","718.90","501.55","7,42,22,434","52,02,06,33,464.10","9,78,644"
"07-Feb-2024","EQ","655.05","677.95","655.00","650.25","677.50","675.25","669.94","677.95","501.55","4,16,96,232","27,93,40,60,703.15","7,97,692"
"06-Feb-2024","EQ","644.45","655.00","637.70","642.95","654.80","650.25","644.26","660.55","501.55","1,40,79,390","9,07,07,37,392.70","2,30,842"
"05-Feb-2024","EQ","647.10","654.80","638.75","649.65","643.00","642.95","646.89","660.55","501.55","2,83,39,525","18,33,25,81,475.65","3,48,687"
"02-Feb-2024","EQ","652.00","660.55","646.70","647.65","648.00","649.65","653.81","660.55","499.35","2,74,71,811","17,96,12,31,828.75","3,62,306"
"01-Feb-2024","EQ","642.75","652.95","633.25","640.50","648.50","647.65","644.85","660.40","499.35","2,65,87,707","17,14,50,97,528.60","3,41,287"
"31-Jan-2024","EQ","626.40","643.20","622.00","626.75","641.55","640.50","634.65","660.40","499.35","2,32,70,745","14,76,87,84,599.55","3,31,696"
"30-Jan-2024","EQ","625.45","633.50","624.20","622.95","625.50","626.75","628.36","660.40","499.35","1,69,66,577","10,66,11,20,748.15","3,40,803"
"29-Jan-2024","EQ","619.00","629.50","615.60","612.75","624.20","622.95","622.28","660.40","499.35","1,95,72,140","12,17,92,66,716.90","3,75,931"
"25-Jan-2024","EQ","618.50","623.80","606.25","618.30","615.00","612.75","612.47","660.40","499.35","2,26,84,904","13,89,39,36,068.05","2,95,756"
"24-Jan-2024","EQ","609.95","622.35","603.10","605.10","618.00","618.30","615.78","660.40","499.35","1,92,21,835","11,83,64,60,488.35","2,74,606"
"23-Jan-2024","EQ","627.00","634.90","600.65","631.40","606.00","605.10","613.88","660.40","499.35","3,09,54,343","19,00,24,05,937.25","4,09,569"
"20-Jan-2024","EQ","629.00","633.80","624.10","627.75","631.00","631.40","628.99","660.40","499.35","98,86,760","6,21,87,02,860.50","1,33,765"
"19-Jan-2024","EQ","633.00","635.50","624.70","628.30","628.70","627.75","629.47","660.40","499.35","1,16,75,202","7,34,91,40,974.30","2,08,754"
"18-Jan-2024","EQ","625.80","633.45","619.05","626.00","628.50","628.30","627.46","660.40","499.35","1,46,95,436","9,22,07,94,332.40","2,39,183"
"17-Jan-2024","EQ","624.00","636.80","623.00","636.90","626.45","626.00","628.60","660.40","499.35","3,00,16,308","18,86,83,96,654.85","4,28,458"
"16-Jan-2024","EQ","640.00","644.90","633.45","640.10","637.55","636.90","639.72","660.40","499.35","1,50,25,543","9,61,21,87,789.45","2,53,396"
"15-Jan-2024","EQ","638.90","645.50","636.10","633.60","640.80","640.10","640.23","660.40","499.35","1,68,44,018","10,78,40,99,571.95","3,00,031"
"12-Jan-2024","EQ","623.80","636.50","621.10","620.20","635.25","633.60","630.54","660.40","499.35","1,66,20,797","10,48,01,04,627.65","3,02,558"
"11-Jan-2024","EQ","626.00","627.15","618.50","621.75","621.25","620.20","621.85","660.40","499.35","1,55,33,860","9,65,97,92,551.10","2,84,550"
"10-Jan-2024","EQ","624.80","625.30","618.20","625.40","622.00","621.75","622.15","660.40","499.35","1,27,42,464","7,92,76,74,893.10","2,13,657"
"09-Jan-2024","EQ","632.00","634.35","624.50","627.00","625.95","625.40","629.70","660.40","499.35","1,34,00,235","8,43,80,88,899.05","2,36,123"
"08-Jan-2024","EQ","640.00","645.00","625.05","641.95","627.90","627.00","633.49","660.40","499.35","1,47,39,531","9,33,73,25,175.95","3,36,839"
"05-Jan-2024","EQ","645.00","651.75","637.75","642.75","641.45","641.95","645.02","660.40","499.35","1,59,84,585","10,31,04,53,920.00","2,72,662"
"04-Jan-2024","EQ","642.50","646.40","638.65","643.45","643.60","642.75","642.95","660.40","499.35","1,38,83,388","8,92,63,55,539.75","2,71,568"
"03-Jan-2024","EQ","639.35","648.00","635.80","639.45","644.50","643.45","643.21","660.40","499.35","1,45,71,772","9,37,27,32,858.90","2,52,225"
